Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	1/150	7.253421e-02	7.907865e-02	0	0	1.479567e+01	3.881937e+01	AKT1
KEGG_2021_Human	Necroptosis	1/159	7.673172e-02	8.303059e-02	0	0	1.394655e+01	3.580694e+01	STAT3
KEGG_2021_Human	cGMP-PKG signaling pathway	1/167	8.044847e-02	8.640762e-02	0	0	1.326908e+01	3.343991e+01	AKT1
KEGG_2021_Human	Tight junction	1/169	8.137556e-02	8.676070e-02	0	0	1.310979e+01	3.288827e+01	JUN
KEGG_2021_Human	Influenza A	1/172	8.276460e-02	8.759757e-02	0	0	1.287784e+01	3.208843e+01	AKT1
KEGG_2021_Human	Tuberculosis	1/180	8.645949e-02	9.067237e-02	0	0	1.229733e+01	3.010484e+01	AKT1
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	8.692041e-02	9.067237e-02	0	0	1.222840e+01	2.987106e+01	JUN
KEGG_2021_Human	Pathogenic Escherichia coli infection	1/197	9.426668e-02	9.763335e-02	0	0	1.122109e+01	2.650003e+01	JUN
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	1.038279e-01	1.067734e-01	0	0	1.012442e+01	2.293203e+01	EGFR
KEGG_2021_Human	Thermogenesis	1/232	1.101515e-01	1.124787e-01	0	0	9.504089e+00	2.096505e+01	MTOR
KEGG_2021_Human	Calcium signaling pathway	1/240	1.137470e-01	1.153378e-01	0	0	9.182241e+00	1.996016e+01	EGFR
KEGG_2021_Human	Parkinson disease	1/249	1.177762e-01	1.185941e-01	0	0	8.844982e+00	1.891914e+01	TP53
KEGG_2021_Human	Endocytosis	1/252	1.191156e-01	1.191156e-01	0	0	8.737937e+00	1.859137e+01	EGFR
